"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","ROC","DESCRIPTION","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U30006PY2003PTC001742","12-18-2003","VELOCITY TECHNOLOGY PRIVATE LIMITED","ACTIVE","PRIV","CLSH",3.70549234380935e-317,2.05679528363711e-317,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","STERLING PLAZA,74,2ND FLOOR, CANTEEN STREET, PONDICHERRY 605 001. PONDICHERRY 605 001. Pondicherry INDIA 605001","Indian Non-Government Company"
"U30006PY2011PTC002657","12-22-2011","CHENDURR TECHNOLOGIES PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-318,4.94065645841247e-318,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","No.14, MULLAI STREET, ANNAI THERESA NAGAR, NEW SARAM PONDICHERRY Pondicherry INDIA 605013","Indian Non-Government Company"
"U30007PY1999PTC001508","12-27-1999","LINUX SOLUTIONS PRIVATE LIMITED","AMALGAMATED","PRIV","CLSH",4.94065645841247e-317,0,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","NO.1,IST CROSS STREET,KAVERINAGAR,REDDIARPALAYAM, PONDICHERRY Pondicherry INDIA","Indian Non-Government Company"
"U30007PY2004PTC001759","2-19-2004","RMC INFOSYSTEMS PRIVATE LIMITED","ACTIVE","PRIV","CLSH",1.23516411460312e-317,9.83190635224081e-319,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","No.25, I Floor, A4&A5, Vallalar Salai, Kamaraj Nagar Pondicherry Pondicherry INDIA 605005","Indian Non-Government Company"
"U30007PY2004PTC001822","12-8-2004","BLAZE TECHNOLOGY SOLUTIONS PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-318,4.94065645841247e-318,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","NO.14, MAIN ROAD,ANNA NAGAR, PONDICHERRY-605005. 605005. Pondicherry INDIA 605005","Indian Non-Government Company"
"U30007PY2005PTC001854","3-31-2005","IT TRADERS INDIA PRIVATE LIMITED","STRIKE OFF","PRIV","CLSH",2.47032822920623e-318,2.47032822920623e-318,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","NO.123, NEEDARAJAPPAYER STREETPONDICHERRY-605001. 605001. Pondicherry INDIA 605001","Indian Non-Government Company"
"U30007PY2008PTC002193","7-16-2008","AURO SYSTEMS AND COMMUNICATIONS PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","NO.1, BHAGATH SINGH STREET, BHARATHIPURAM, BEHIND STANDARD ICE FACTORY, PONDICHERRY Pondicherry INDIA 605011","Indian Non-Government Company"
"U30007PY2009PTC002264","2-13-2009","V NET TECHNOLOGY PRIVATE LIMITED","ACTIVE","PRIV","CLSH",2.47032822920623e-318,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","162, KAMARAJ SALAI BRINDAVANAM PONDICHERY Pondicherry INDIA 605013","Indian Non-Government Company"
"U30008PY2009PTC002382","11-16-2009","DEMOS TECHNOLOGIES PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","M1 UNIQUE GREEN VILLA APARTMENT, 8TH CROSS TAGORE NAGAR, LAWSPET PONDICHERRY Pondicherry INDIA 605008","Indian Non-Government Company"
"U30009PY1986PLC000437","9-8-1986","PRAGATI COMPUTERS LIMITED","ACTIVE","PUBC","CLSH",7.4109846876187e-317,6.53204190366712e-317,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","NO 22 KAMARAJ SALAITHATTANCHAVADY INDUSTRIAL ESTATE PONDICHERRY 605009 Pondicherry INDIA 605000","Indian Non-Government Company"
